Channel,Train Mean,Train Std
E-13,-0.6016398712828454,0.5457678424622868
T-9,0.2725937085682113,0.20212829659418824
E-11,-0.5873111307910931,0.8087424433349932
E-3,0.13369273264645465,0.41697237532667714
E-7,-0.9701384289848881,0.043427127757822974
P-7,0.005532412492022857,0.24098512768283042
D-15,0.778428590999292,0.6553955120230839
G-3,0.9878048780487805,0.15569689432687442
F-7,-0.6086789554531489,0.6105378621304084
E-10,-0.5875240468742737,0.8083221711569138
E-1,-0.5868055555555556,0.8097278801974992
T-4,-0.5215669014084507,0.49953465221507715
D-16,-0.5354425929644514,0.829073663968121
M-4,0.6364353950034422,0.6520076537707444
G-1,0.07994722491332774,0.49811725693404574
E-8,-0.26352603830220817,0.5039301106762435
A-3,0.04103326951585082,0.47031752250198183
D-6,-0.09644592247169076,0.44630233519822404
T-3,0.9768586867581994,0.01553626209343579
E-9,-0.10506802119233913,0.521807869327441
A-9,0.24096180458273875,0.9646194035275464
G-6,0.00034265084192452435,0.5777554437197693
M-5,-0.4868114401958829,0.7006601370130817
C-1,-0.6697851046571983,0.4318251383189757
P-3,-0.14002681452335086,0.29494683036497293
A-8,-0.24666460299358714,0.9690446150925986
M-7,-0.9856139384354822,0.11717017047063638
T-13,0.05297958578305448,0.5286049660951541
P-15,0.9449544579167801,0.036063863808221096
P-1,-0.42717446702097644,0.40276585941865495
E-2,-0.4068951856239578,0.5517526627778341
M-3,0.5801467632094458,0.727059201809877
E-5,-0.5868055555555556,0.8097278801974994
T-8,-0.9818994442696866,0.18695321501432743
A-7,-0.3143711830160995,0.3884348442295867
M-2,-0.8468589466809938,0.3396859500694241
F-3,-2.8289947818570404e-05,0.5775759686318187
P-11,0.8475414416922297,0.11173827097671962
F-2,-0.45439985402290195,0.17170582850569333
F-5,-0.3674714574349985,0.9000656268949284
S-1,-0.11536472536776562,0.45075720965031135
F-4,-0.5981473414952873,0.38725070643973436
E-4,-0.42310933205763945,0.4444323447436583
A-4,0.0790675805471302,0.3534340433354049
T-1,0.5766928266336943,0.6074592239396851
P-2,-0.943301772460543,0.028372272928963736
M-1,0.41603124700593647,0.6924396522909034
T-2,0.5795300799922432,0.6083231101819357
F-8,-0.7913121536179846,0.4932697671601877
T-10,-0.07226741760534003,0.5220640506118994
T-12,-0.14507141772016643,0.47720701065782173
A-6,-0.8219768845954724,0.22652188445055585
D-1,-0.775221612846613,0.06352376399760404
G-7,0.9841918778958845,0.17607652421015912
F-1,-0.2186997680321116,0.21939420805928317
E-12,-0.5868055555555556,0.8097278801974994
A-2,0.015880759228717303,0.5628087473899643
D-11,-0.2413294182731186,0.552939873369299
