telemetry_index,anomaly_score,decision,ground_truth,prediction
49,0.009550475515425205,NORMAL,0,0
50,0.010166650637984276,NORMAL,0,0
51,0.010782335884869099,NORMAL,0,0
52,0.011398090980947018,NORMAL,0,0
53,0.01201449055224657,NORMAL,0,0
54,0.012632056139409542,NORMAL,0,0
55,0.013251121155917645,NORMAL,0,0
56,0.013871682807803154,NORMAL,0,0
57,0.014493221417069435,NORMAL,0,0
58,0.015114456415176392,NORMAL,0,0
59,0.015733608976006508,NORMAL,0,0
60,0.016349099576473236,NORMAL,0,0
61,0.016960695385932922,NORMAL,0,0
62,0.01757013611495495,NORMAL,0,0
63,0.01818067394196987,NORMAL,0,0
64,0.018796125426888466,NORMAL,0,0
65,0.019420292228460312,NORMAL,0,0
66,0.020057586953043938,NORMAL,0,0
67,0.020717397332191467,NORMAL,0,0
68,0.021444760262966156,NORMAL,0,0
69,0.02249527908861637,NORMAL,0,0
70,0.022809267044067383,NORMAL,0,0
71,0.023457448929548264,NORMAL,0,0
72,0.024106137454509735,NORMAL,0,0
73,0.024754302576184273,NORMAL,0,0
74,0.025400789454579353,NORMAL,0,0
75,0.02604461833834648,NORMAL,0,0
76,0.026685521006584167,NORMAL,0,0
77,0.027324508875608444,NORMAL,0,0
78,0.02796448953449726,NORMAL,0,0
79,0.028609979897737503,NORMAL,0,0
80,0.029265906661748886,NORMAL,0,0
81,0.029935965314507484,NORMAL,0,0
82,0.030621536076068878,NORMAL,0,0
83,0.0313219279050827,NORMAL,0,0
84,0.03203470632433891,NORMAL,0,0
85,0.032754894345998764,NORMAL,0,0
86,0.03407096490263939,NORMAL,0,0
87,0.035266052931547165,NORMAL,0,0
88,0.03608229383826256,NORMAL,0,0
89,0.0370996817946434,NORMAL,0,0
90,0.038123540580272675,NORMAL,0,0
91,0.039142828434705734,NORMAL,0,0
92,0.04013800993561745,NORMAL,0,0
93,0.04104408621788025,NORMAL,0,0
94,0.04153961315751076,NORMAL,0,0
95,0.04281410202383995,NORMAL,0,0
96,0.04403410851955414,NORMAL,0,0
97,0.04526517540216446,NORMAL,0,0
98,0.04649455472826958,NORMAL,0,0
99,0.047720715403556824,NORMAL,0,0
100,0.04894331470131874,NORMAL,0,0
101,0.05016300082206726,NORMAL,0,0
102,0.05138063430786133,NORMAL,0,0
103,0.05259706452488899,NORMAL,0,0
104,0.05381309613585472,NORMAL,0,0
105,0.05589175596833229,NORMAL,0,0
106,0.05792837217450142,NORMAL,0,0
107,0.059984613209962845,NORMAL,0,0
108,0.062045179307460785,NORMAL,0,0
109,0.06410696357488632,NORMAL,0,0
110,0.06616897135972977,NORMAL,0,0
111,0.06823155283927917,NORMAL,0,0
112,0.07029537856578827,NORMAL,0,0
