telemetry_index,anomaly_score,decision
49,0.009550475515425205,NORMAL
50,0.010166650637984276,NORMAL
51,0.010782335884869099,NORMAL
52,0.011398090980947018,NORMAL
53,0.01201449055224657,NORMAL
54,0.012632056139409542,NORMAL
55,0.013251121155917645,NORMAL
56,0.013871682807803154,NORMAL
57,0.014493221417069435,NORMAL
58,0.015114456415176392,NORMAL
59,0.015733608976006508,NORMAL
60,0.016349099576473236,NORMAL
61,0.016960695385932922,NORMAL
62,0.01757013611495495,NORMAL
63,0.01818067394196987,NORMAL
64,0.018796125426888466,NORMAL
65,0.019420292228460312,NORMAL
66,0.020057586953043938,NORMAL
67,0.020717397332191467,NORMAL
68,0.021444760262966156,NORMAL
69,0.02249527908861637,NORMAL
70,0.022809267044067383,NORMAL
71,0.023457448929548264,NORMAL
72,0.024106137454509735,NORMAL
73,0.024754302576184273,NORMAL
74,0.025400789454579353,NORMAL
75,0.02604461833834648,NORMAL
76,0.026685521006584167,NORMAL
77,0.027324508875608444,NORMAL
78,0.02796448953449726,NORMAL
79,0.028609979897737503,NORMAL
80,0.029265906661748886,NORMAL
81,0.029935965314507484,NORMAL
82,0.030621536076068878,NORMAL
83,0.0313219279050827,NORMAL
84,0.03203470632433891,NORMAL
85,0.032754894345998764,NORMAL
86,0.03407096490263939,NORMAL
87,0.035266052931547165,NORMAL
88,0.03608229383826256,NORMAL
89,0.0370996817946434,NORMAL
90,0.038123540580272675,NORMAL
91,0.039142828434705734,NORMAL
92,0.04013800993561745,NORMAL
93,0.04104408621788025,NORMAL
94,0.04153961315751076,NORMAL
95,0.04281410202383995,NORMAL
96,0.04403410851955414,NORMAL
97,0.04526517540216446,NORMAL
98,0.04649455472826958,NORMAL
99,0.047720715403556824,NORMAL
100,0.04894331470131874,NORMAL
101,0.05016300082206726,NORMAL
102,0.05138063430786133,NORMAL
103,0.05259706452488899,NORMAL
104,0.05381309613585472,NORMAL
105,0.05589175596833229,NORMAL
106,0.05792837217450142,NORMAL
107,0.059984613209962845,NORMAL
108,0.062045179307460785,NORMAL
109,0.06410696357488632,NORMAL
110,0.06616897135972977,NORMAL
111,0.06823155283927917,NORMAL
112,0.07029537856578827,NORMAL
113,0.07236117869615555,NORMAL
114,0.07442954182624817,NORMAL
115,0.07650088518857956,NORMAL
116,0.07857538014650345,NORMAL
117,0.08065294474363327,NORMAL
118,0.08273326605558395,NORMAL
119,0.08579780906438828,NORMAL
120,0.08785656094551086,NORMAL
121,0.09095028042793274,NORMAL
122,0.09399285912513733,NORMAL
123,0.09706070274114609,NORMAL
124,0.10013750195503235,NORMAL
125,0.10322271287441254,NORMAL
126,0.1063193529844284,NORMAL
127,0.10943116992712021,NORMAL
128,0.11256010085344315,NORMAL
129,0.11570534110069275,NORMAL
130,0.11886294186115265,ANOMALY
131,0.12202650308609009,ANOMALY
132,0.12518645823001862,ANOMALY
133,0.12832506000995636,ANOMALY
134,0.13039450347423553,ANOMALY
135,0.13207945227622986,ANOMALY
136,0.13364261388778687,ANOMALY
137,0.1352156102657318,ANOMALY
138,0.13680650293827057,ANOMALY
139,0.13841474056243896,ANOMALY
140,0.1400337666273117,ANOMALY
141,0.1416524052619934,ANOMALY
142,0.14325051009655,ANOMALY
143,0.14476269483566284,ANOMALY
144,0.14586730301380157,ANOMALY
145,0.14673687517642975,ANOMALY
